location,total_cases
Afghanistan,235214.0
Africa,13142189.0
Albania,334863.0
Algeria,272027.0
American Samoa,8359.0
Andorra,48015.0
Angola,107423.0
Anguilla,3904.0
Antigua and Barbuda,9106.0
Argentina,10131586.0
Armenia,451831.0
Aruba,44224.0
Asia,301416656.0
Australia,11846355.0
Austria,6082347.0
Azerbaijan,835371.0
Bahamas,38084.0
Bahrain,696614.0
Bangladesh,2050060.0
Barbados,110615.0
Belarus,994037.0
Belgium,4861717.0
Belize,71409.0
Benin,28036.0
Bermuda,18860.0
Bhutan,62697.0
Bolivia,1212131.0
Bonaire Sint Eustatius and Saba,11922.0
Bosnia and Herzegovina,403638.0
Botswana,330650.0
Brazil,37519960.0
British Virgin Islands,7420.0
Brunei,344020.0
Bulgaria,1329266.0
Burkina Faso,22122.0
Burundi,54569.0
Cambodia,139117.0
Cameroon,125207.0
Canada,4791646.0
Cape Verde,64474.0
Cayman Islands,31472.0
Central African Republic,15466.0
Chad,7702.0
Chile,5399992.0
China,99354727.0
Colombia,6385309.0
Comoros,9109.0
Congo,25219.0
Cook Islands,7326.0
Costa Rica,1230653.0
Cote d'Ivoire,88425.0
Croatia,1316958.0
Cuba,1113662.0
Curacao,45883.0
Cyprus,691072.0
Czechia,4759288.0
Democratic Republic of Congo,100566.0
Denmark,3435018.0
Djibouti,15690.0
Dominica,16047.0
Dominican Republic,661103.0
Ecuador,1076087.0
Egypt,516023.0
El Salvador,201865.0
Equatorial Guinea,17130.0
Eritrea,10189.0
Estonia,610366.0
Eswatini,75191.0
Ethiopia,501167.0
Europe,252557050.0
European Union,185636059.0
Faeroe Islands,34658.0
Falkland Islands,1923.0
Fiji,69047.0
Finland,1499712.0
France,38997490.0
French Guiana,98041.0
French Polynesia,79302.0
Gabon,49051.0
Gambia,12626.0
Georgia,1862754.0
Germany,38437756.0
Ghana,172003.0
Gibraltar,20550.0
Greece,5633376.0
Greenland,11971.0
Grenada,19693.0
Guadeloupe,203235.0
Guam,52287.0
Guatemala,1250355.0
Guernsey,35326.0
Guinea,38572.0
Guinea-Bissau,9614.0
Guyana,74125.0
Haiti,34298.0
High income,428613368.0
Honduras,472789.0
Hungary,2230381.0
Iceland,209938.0
India,45037776.0
Indonesia,6828993.0
Iran,7627863.0
Iraq,2465545.0
Ireland,1736068.0
Isle of Man,38008.0
Israel,4841558.0
Italy,26721656.0
Jamaica,156822.0
Japan,33803572.0
Jersey,66391.0
Jordan,1746997.0
Kazakhstan,1503687.0
Kenya,344101.0
Kiribati,5085.0
Kosovo,274279.0
Kuwait,667290.0
Kyrgyzstan,88953.0
Laos,219038.0
Latvia,977701.0
Lebanon,1239904.0
Lesotho,36138.0
Liberia,8090.0
Libya,507269.0
Liechtenstein,21576.0
Lithuania,1366278.0
Low income,2331788.0
Lower middle income,97539076.0
Luxembourg,391378.0
Madagascar,68525.0
Malawi,89168.0
Malaysia,5281323.0
Maldives,186694.0
Mali,33164.0
Malta,121422.0
Marshall Islands,16178.0
Martinique,230354.0
Mauritania,63854.0
Mauritius,327305.0
Mayotte,42027.0
Mexico,7709747.0
Micronesia (country),26547.0
Moldova,635631.0
Monaco,17181.0
Mongolia,1011469.0
Montenegro,251280.0
Montserrat,1403.0
Morocco,1279115.0
Mozambique,233794.0
Myanmar,642138.0
Namibia,172404.0
Nauru,5393.0
Nepal,1003450.0
Netherlands,8636201.0
New Caledonia,80064.0
New Zealand,2587178.0
Nicaragua,16143.0
Niger,9515.0
Nigeria,267188.0
Niue,1074.0
North America,124545536.0
North Macedonia,350589.0
Northern Mariana Islands,14656.0
Norway,1507568.0
Oceania,14930822.0
Oman,399449.0
Pakistan,1580631.0
Palau,6332.0
Palestine,703228.0
Panama,1044336.0
Papua New Guinea,46864.0
Paraguay,735759.0
Peru,4524748.0
Philippines,4173631.0
Pitcairn,4.0
Poland,6662631.0
Portugal,5643528.0
Puerto Rico,1252713.0
Qatar,514524.0
Reunion,494595.0
Romania,3528662.0
Russia,24158502.0
Rwanda,133235.0
Saint Barthelemy,5507.0
Saint Helena,2166.0
Saint Kitts and Nevis,6607.0
Saint Lucia,30252.0
Saint Martin (French part),12324.0
Saint Pierre and Miquelon,3426.0
Saint Vincent and the Grenadines,9674.0
Samoa,17057.0
San Marino,25292.0
Sao Tome and Principe,6771.0
Saudi Arabia,841469.0
Senegal,89077.0
Serbia,2583470.0
Seychelles,51686.0
Sierra Leone,7818.0
Singapore,3006155.0
Sint Maarten (Dutch part),11051.0
Slovakia,1877741.0
Slovenia,1355887.0
Solomon Islands,25954.0
Somalia,27334.0
South Africa,4072681.0
South America,68832745.0
South Korea,34571873.0
South Sudan,18823.0
Spain,13980340.0
Sri Lanka,672754.0
Sudan,63993.0
Suriname,82496.0
Sweden,2751819.0
Switzerland,4453663.0
Syria,57423.0
Tajikistan,17786.0
Tanzania,43225.0
Thailand,4776096.0
Timor,23460.0
Togo,39530.0
Tokelau,80.0
Tonga,16958.0
Trinidad and Tobago,191496.0
Tunisia,1153361.0
Turkey,17004714.0
Turks and Caicos Islands,6754.0
Tuvalu,2943.0
Uganda,172149.0
Ukraine,5531524.0
United Arab Emirates,1067030.0
United Kingdom,24924986.0
USA,103436829.0
United States Virgin Islands,25389.0
Upper middle income,245733783.0
Uruguay,1037893.0
Uzbekistan,175081.0
Vanuatu,12019.0
Vatican,26.0
Venezuela,552695.0
Vietnam,11624000.0
Wallis and Futuna,3760.0
Yemen,11945.0
Zambia,349635.0
Zimbabwe,266362.0
